ID_Medico,Nome,Especialidade,Registro_CRN
1,Samuel Dean,Pediatria,CRN-42674
2,Adam Bradford,Dermatologia,CRN-07180
3,Kelly Pruitt,Ortopedia,CRN-53473
4,Mary Thompson DDS,Pediatria,CRN-78024
5,Michael Lee,Pediatria,CRN-13663
6,James Wells,Neurologia,CRN-56175
7,Alicia Fitzgerald,Dermatologia,CRN-99959
8,Rebecca Knight,Neurologia,CRN-98082
9,Jacqueline Griffin,Pediatria,CRN-91970
10,Linda Diaz,Neurologia,CRN-62648
11,Jeff Baxter,Ortopedia,CRN-38836
12,Jeremiah Kennedy,Pediatria,CRN-39577
13,Deborah Wall,Neurologia,CRN-96929
14,Maria Smith,Dermatologia,CRN-19426
15,Tiffany Morales,Neurologia,CRN-14385
16,Michael Hayes,Ortopedia,CRN-66962
17,Elizabeth Barber,Dermatologia,CRN-26056
18,Zachary Salazar,Dermatologia,CRN-25788
19,Lindsay Johnson,Neurologia,CRN-40224
20,Shannon Baker,Cardiologia,CRN-80700
21,Debra Fisher,Dermatologia,CRN-91458
22,Shannon Alvarez,Dermatologia,CRN-66718
23,Louis Taylor,Pediatria,CRN-94624
24,Christine Nichols,Ortopedia,CRN-17431
25,Amanda Jacobs,Pediatria,CRN-37198
26,Danielle Payne,Cardiologia,CRN-20377
27,Jacqueline Simmons,Neurologia,CRN-65826
28,Francisco Kelley,Dermatologia,CRN-93071
29,Kevin Mccoy,Dermatologia,CRN-22916
30,Tonya Perkins,Neurologia,CRN-40674
31,Michael Rojas,Dermatologia,CRN-43938
32,Tina Dodson,Dermatologia,CRN-96103
33,Jordan Robinson,Pediatria,CRN-36027
34,Ryan Hansen,Dermatologia,CRN-32497
35,Matthew Bates,Ortopedia,CRN-03780
36,Jason Hernandez,Cardiologia,CRN-91447
37,Cheryl Martin,Neurologia,CRN-77589
38,Melissa Kennedy,Pediatria,CRN-67763
39,Ralph Moore,Ortopedia,CRN-08170
40,Amy Sparks,Dermatologia,CRN-04055
41,Elizabeth Thompson,Cardiologia,CRN-41353
42,Joshua Brown,Neurologia,CRN-51435
43,Pamela Allen,Neurologia,CRN-25632
44,Patrick Hale,Cardiologia,CRN-40516
45,Travis Marshall,Pediatria,CRN-49078
46,Alejandra Aguilar,Cardiologia,CRN-55243
47,April Williams,Neurologia,CRN-21073
48,Richard Huang,Ortopedia,CRN-88080
49,Nancy Nelson,Dermatologia,CRN-23156
